dataset,candidate_name,unit_id,true_RUL,pred,error,abs_error,cmapss_penalty,condition_dominant
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,31,140.0,81.44807434082031,-58.55192565917969,58.55192565917969,89.37740409702809,1
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,178,80.0,114.19744873046876,34.197448730468764,34.197448730468764,29.56161693413049,1
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,120,50.0,83.78388977050781,33.78388977050781,33.78388977050781,28.323492220905617,3
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,69,80.0,111.93321228027344,31.933212280273438,31.933212280273438,23.369228954907726,4
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,11,140.0,98.68767547607422,-41.31232452392578,41.31232452392578,22.99561528563537,5
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,243,140.0,99.80259704589844,-40.19740295410156,40.19740295410156,21.023452747971408,4
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,19,80.0,110.56388092041016,30.563880920410156,30.563880920410156,20.250662939590736,4
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,214,50.0,80.31962585449219,30.319625854492188,30.319625854492188,19.73789256319404,3
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,140,140.0,101.0255889892578,-38.9744110107422,38.9744110107422,19.046039763450697,2
FD002,fd002_baseline_xgb_condition_fault_sensitive_mid_guard,97,80.0,109.869384765625,29.869384765625,29.869384765625,18.824895107026983,1
