priority_rank,unit,y_true_rul_raw,y_pred_rul,error,abs_error
1,34,7.0,6.980361192472483,-0.019638807527517343,0.019638807527517343
2,76,10.0,7.197468993972987,-2.8025310060270128,2.8025310060270128
3,81,8.0,8.745995830892834,0.7459958308928343,0.7459958308928343
4,68,8.0,9.559725765969915,1.5597257659699153,1.5597257659699153
5,31,8.0,10.189124328797659,2.189124328797659,2.189124328797659
6,82,9.0,10.776540880720413,1.7765408807204128,1.7765408807204128
7,35,11.0,12.185254552084384,1.185254552084384,1.185254552084384
8,42,10.0,12.298543775193872,2.298543775193872,2.298543775193872
9,20,16.0,13.03739850742704,-2.9626014925729596,2.9626014925729596
10,49,21.0,13.938726248263217,-7.061273751736783,7.061273751736783
11,56,15.0,15.53329965847755,0.5332996584775493,0.5332996584775493
12,66,14.0,20.02166943072868,6.021669430728679,6.021669430728679
13,36,19.0,20.896683690003638,1.8966836900036377,1.8966836900036377
14,24,20.0,24.958021138861145,4.958021138861145,4.958021138861145
15,92,20.0,25.179045429060917,5.179045429060917,5.179045429060917
16,61,21.0,25.254594649334646,4.254594649334646,4.254594649334646
17,91,38.0,27.15904404125432,-10.840955958745681,10.840955958745681
18,37,21.0,29.2365699315907,8.2365699315907,8.2365699315907
19,53,26.0,29.684418565878577,3.684418565878577,3.684418565878577
20,90,28.0,31.337665689429315,3.337665689429315,3.337665689429315
21,52,29.0,31.898764790662703,2.898764790662703,2.898764790662703
22,41,18.0,32.04454709481358,14.04454709481358,14.04454709481358
23,100,20.0,32.996788400488406,12.996788400488406,12.996788400488406
24,64,28.0,33.74505473159462,5.745054731594621,5.745054731594621
25,77,34.0,36.146764564878765,2.146764564878765,2.146764564878765
26,58,37.0,40.300664686094294,3.3006646860942936,3.3006646860942936
27,18,28.0,40.91918878974626,12.919188789746258,12.919188789746258
28,3,69.0,40.98403473547993,-28.01596526452007,28.01596526452007
29,40,28.0,44.35977315705059,16.35977315705059,16.35977315705059
30,93,85.0,44.39461895979045,-40.60538104020955,40.60538104020955
31,38,50.0,46.9629810285839,-3.037018971416103,3.037018971416103
32,17,50.0,50.729161198717215,0.7291611987172146,0.7291611987172146
33,62,54.0,52.62675745607199,-1.3732425439280078,1.3732425439280078
34,32,48.0,55.83504377548838,7.83504377548838,7.83504377548838
35,46,47.0,56.94353528138526,9.943535281385259,9.943535281385259
36,45,114.0,66.81182648134867,-47.188173518651325,47.188173518651325
