unit_number,total_life,n_cycles,cluster_sensors,sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope,cluster_id,cluster_method,n_clusters,cluster_random_state,cluster_feature_columns
1,259,259,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",554.5989999999999,551.63,-2.9689999999999372,553.6131660231661,0.9111196469434454,-0.01038922924969571,9068.529999999999,9075.132000000001,6.60200000000259,9071.174208494209,4.7926243658086065,0.026266899662266138,522.26,519.908,-2.3519999999999754,521.6665637065638,0.7537649175709722,-0.00850114310579466,8149.207,8147.95,-1.2570000000005166,8149.744324324325,3.0879645285467348,-0.0039946954365751245,8.40559,8.51412,0.10853000000000002,8.432769111969112,0.036303139875890456,0.00036243388289898407,1,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
2,253,253,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",553.646,567.359,13.71300000000008,556.4351383399209,3.7732541811080518,0.04390504793620202,9050.809,9117.628,66.81900000000132,9063.079604743081,18.750404787248463,0.2123796185555446,521.677,534.828,13.150999999999954,524.2502371541502,3.5756338257728366,0.041311528252643594,8134.498000000001,8185.243999999999,50.745999999997366,8145.411027667984,14.385373985915331,0.16482484649890972,8.38152,8.253800000000002,-0.12771999999999828,8.355037549407113,0.04285664094450213,-0.0004562992866998606,0,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
3,222,222,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",554.6460000000001,551.6800000000001,-2.966000000000008,553.7147297297297,0.8787663696110556,-0.011363981110752827,9054.953000000001,9090.916,35.96299999999792,9063.696081081082,10.812756915770947,0.13975348661973325,522.3560000000001,520.106,-2.2500000000001137,521.7014864864865,0.703298564934555,-0.009031045736401365,8136.909999999999,8160.329999999999,23.420000000000073,8143.492162162163,7.122939772364394,0.09116596863890139,8.39339,8.497689999999999,0.1042999999999985,8.429476576576578,0.037557210305583566,0.00045977676639767943,1,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
4,272,272,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",553.353,551.231,-2.1219999999999573,552.7607352941176,0.7016898011155787,-0.0067304829964933335,9047.145,9047.986,0.8410000000003492,9049.09974264706,4.00292791829469,0.0030089513807082997,521.3979999999999,519.48,-1.9179999999998927,520.8697794117646,0.5937449280424384,-0.005982982179531079,8128.246000000001,8121.468000000001,-6.778000000000247,8127.47268382353,3.772351691237895,-0.020940861016590658,8.44687,8.52729,0.08042000000000016,8.466885294117647,0.028685976101807946,0.0002465485512967188,1,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
5,213,213,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",553.679,551.5179999999999,-2.161000000000058,553.0829577464789,0.7062764777361425,-0.008966610454472532,9047.731,9108.316,60.585000000000946,9061.209483568075,17.449951833232205,0.24243941873777955,521.457,520.091,-1.3659999999999854,521.1339436619718,0.5346724122070668,-0.006662436264563298,8129.127,8175.402,46.274999999999636,8139.0392488262905,13.431653259926458,0.1850640148420359,8.440259999999999,8.51107,0.0708100000000016,8.453891079812207,0.03082197961637936,0.0003472927496206208,1,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
6,278,278,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",553.914,551.487,-2.427000000000021,553.1748201438849,0.783682372633813,-0.007776240868259167,9061.827000000001,9081.449999999999,19.622999999997774,9066.077338129497,7.3285183143818005,0.06742077073171127,521.6299999999999,519.8299999999999,-1.7999999999999545,521.2239928057554,0.6434100586293048,-0.006539847893433862,8142.298,8153.159999999999,10.86199999999917,8143.837302158274,4.295736080934874,0.03336083852143848,8.417300000000001,8.52027,0.10296999999999912,8.452162589928056,0.03422690950552598,0.00031173613339442594,1,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
7,424,424,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",552.992,567.987,14.995000000000005,555.642570754717,3.9675103576915824,0.027059595721067226,9045.844999999998,9121.132,75.28700000000208,9060.813349056602,19.75226597010154,0.1335674404326293,520.735,535.154,14.418999999999983,523.4741981132075,3.758200570324701,0.025733235727048335,8130.93,8188.834999999999,57.904999999998836,8142.669221698113,15.13291111077768,0.10276477121559592,8.38746,8.23259,-0.15487000000000073,8.360546462264152,0.04599520726399663,-0.00029293776812208103,0,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
8,267,267,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",553.2620000000001,551.522,-1.740000000000009,552.8074531835205,0.6410678946578334,-0.0062595844802346146,9048.746,9077.948,29.202000000001135,9055.209063670412,9.335678905222425,0.10051096422926675,521.384,519.8,-1.58400000000006,520.9179400749064,0.5438982852736244,-0.005222632297666922,8127.919,8150.372,22.45300000000043,8133.592022471911,6.817376923666855,0.06965644027894663,8.43981,8.510760000000001,0.07095000000000162,8.461221722846442,0.028110434572650358,0.0002447828652631051,1,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
9,406,406,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",556.9040000000001,568.917,12.01299999999992,559.3279310344828,3.2128305208701713,0.023514511376580477,9062.514,9120.914,58.400000000001455,9074.734211822659,16.366885850936768,0.11878674106261604,524.751,536.053,11.302000000000021,527.0591625615764,3.043526893086899,0.022393264738092656,8143.732000000001,8191.406,47.67399999999907,8153.547019704433,12.684708521696479,0.08909172226414247,8.370630000000002,8.23997,-0.13066000000000244,8.335510837438425,0.03805044461963485,-0.00023986266606956525,0,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
10,481,481,"sensor_7,sensor_9,sensor_12,sensor_14,sensor_15",552.5379999999999,564.103,11.565000000000055,553.84079002079,2.8014711385463746,0.01416858248289711,9042.670999999998,9119.823999999999,77.15300000000025,9055.415654885654,18.58362089388033,0.10123277275040109,520.38,531.5049999999999,11.124999999999886,521.7493970893971,2.6977614209406773,0.013620949827899437,8128.8240000000005,8187.829000000001,59.00500000000011,8138.534303534304,14.698219403076159,0.0807638078950294,8.406070000000001,8.22517,-0.18090000000000117,8.367913097713098,0.051052660584677036,-0.000275482063215475,0,kmeans,2,42,"sensor_7_initial_mean,sensor_7_final_mean,sensor_7_delta_final_initial,sensor_7_mean,sensor_7_std,sensor_7_slope,sensor_9_initial_mean,sensor_9_final_mean,sensor_9_delta_final_initial,sensor_9_mean,sensor_9_std,sensor_9_slope,sensor_12_initial_mean,sensor_12_final_mean,sensor_12_delta_final_initial,sensor_12_mean,sensor_12_std,sensor_12_slope,sensor_14_initial_mean,sensor_14_final_mean,sensor_14_delta_final_initial,sensor_14_mean,sensor_14_std,sensor_14_slope,sensor_15_initial_mean,sensor_15_final_mean,sensor_15_delta_final_initial,sensor_15_mean,sensor_15_std,sensor_15_slope"
